game,publisher,publisher2,genre,genre_ma,genre_mi,year,year2,esrb,esrb2,local_player,local_player2,online_player,online_player2,metacritic,exclusive,sales_na,sales_eu,sales_jp,sales_o,sales_total
NightCaster,Microsoft Game Studios,Microsoft Game Studios,ActionAdventure,ActionAdventure,NA,2002,2002,T,T,1,1,NA,NA,61,Yes,0.1,0.03,NA,NA,0.13
NightCaster II: Equinox,Jaleco,Other,ActionAdventure,ActionAdventure,NA,2002,2002,T,T,2,2,NA,NA,46,No,0.03,0.01,NA,NA,0.05
Ninja Gaiden,Tecmo Koei,Tecmo Koei,ActionAdventure,ActionAdventure,NA,2004,2004,M,M,1,1,NA,NA,91,Yes,0.92,0.2,0.07,0.04,1.23
Ninja Gaiden Black,Tecmo Koei,Tecmo Koei,ActionAdventure,ActionAdventure,NA,2005,2005,M,M,1,1,NA,NA,94,Yes,0.07,0.02,NA,NA,0.09
Nobunaga Mahjong,E-Frontier,Other,Puzzle,NA,Puzzle,2003,2003,E,E,1,1,NA,NA,NA,No,NA,NA,NA,NA,NA
Nobunaga no Yabou: Ranseiki,Tecmo Koei,Tecmo Koei,Strategy,NA,Strategy,2002,2002,M,M,1,1,NA,NA,NA,No,NA,NA,NA,NA,NA
NTRA Breeders' Cup World Thoroughbred Championships,Bethesda Softworks,Other,Simulation,NA,Simulation,2005,2005,E,E,2,2,NA,NA,47,No,0.04,0.01,NA,NA,0.06
Obscure,MC2 Entertainment,Other,ActionAdventure,ActionAdventure,NA,2004,2004,M,M,2,2,NA,NA,66,No,0.03,0.01,NA,NA,0.04
Oddworld: Munch's Oddysee,Atari,Atari,Platformer,NA,Platformer,2001,2002,T,T,1,1,NA,NA,80,Yes,0.54,0.16,NA,0.03,0.73
Oddworld: Stranger's Wrath,Electronic Arts,Electronic Arts,Platformer,NA,Platformer,2005,2005,T,T,1,1,NA,NA,88,Yes,0.19,0.06,NA,0.01,0.26
Open Season,Ubisoft,Ubisoft,Platformer,NA,Platformer,2006,2006,E10,E,4,4,NA,NA,59,No,NA,NA,NA,NA,NA
Operation Flashpoint: Elite,Codemasters,Codemasters,Shooter,Shooter,NA,2005,2005,T,T,1,1,14,8,64,Yes,0.03,0.01,NA,NA,0.04
Otogi 2: Immortal Warriors,Sega,Sega,ActionAdventure,ActionAdventure,NA,2003,2003,T,T,1,1,NA,NA,79,Yes,0.04,0.01,NA,NA,0.05
Otogi: Myth of Demons,Sega,Sega,ActionAdventure,ActionAdventure,NA,2002,2002,T,T,1,1,NA,NA,80,Yes,0.08,0.02,0.03,NA,0.13
Outlaw Golf,Take-Two Interactive,Take-Two Interactive,Sports,Sports,NA,2002,2002,T,T,4,4,NA,NA,72,No,0.22,0.06,NA,0.01,0.29
Outlaw Golf 2,Global Star,Global Star,Sports,Sports,NA,2004,2004,M,M,4,4,4,4,74,No,0.15,0.04,NA,0.01,0.21
Outlaw Golf: Nine Holes of Christmas,Simon & Schuster Interactive,Other,Sports,Sports,NA,2002,2002,T,T,4,4,NA,NA,NA,No,0.08,0.02,NA,NA,0.11
Outlaw Tennis,Global Star,Global Star,Sports,Sports,NA,2005,2005,M,M,4,4,10,8,66,No,0.03,0.01,NA,NA,0.04
Outlaw Volleyball,Take-Two Interactive,Take-Two Interactive,Sports,Sports,NA,2003,2003,M,M,4,4,4,4,77,No,0.19,0.06,NA,0.01,0.26
OutRun 2,Sega,Sega,Racing,Racing,NA,2004,2004,T,T,4,4,8,8,79,No,0.11,0.03,NA,0.01,0.14
OutRun 2006: Coast 2 Coast,Sega,Sega,Racing,Racing,NA,2006,2006,T,T,4,4,6,4,77,No,NA,NA,NA,NA,NA
Over the Hedge,Activision,Activision,Platformer,NA,Platformer,2006,2006,E10,E,2,2,NA,NA,61,No,0.07,0.02,NA,NA,0.1
Pac-Man World 2,Namco Bandai Games,Namco Bandai Games,ActionAdventure,ActionAdventure,NA,2002,2002,E,E,1,1,NA,NA,66,No,0.36,0.11,NA,0.02,0.49
Pac-Man World 3,Namco Bandai Games,Namco Bandai Games,Platformer,NA,Platformer,2005,2005,E,E,1,1,NA,NA,65,No,0.11,0.04,NA,0.01,0.15
Painkiller: Hell Wars,DreamCatcher Interactive,Other,Shooter,Shooter,NA,2006,2006,M,M,1,1,8,8,68,No,0.03,0.01,NA,NA,0.04
Panzer Dragoon Orta,Sega,Sega,Shooter,Shooter,NA,2002,2002,T,T,1,1,NA,NA,90,Yes,0.16,0.05,0.04,0.01,0.26
Pariah,Hip Interactive,Other,ActionAdventure,ActionAdventure,NA,2005,2005,M,M,2,2,12,8,70,Yes,0.08,0.02,NA,NA,0.1
Payout Poker & Casino,Namco Bandai Games,Namco Bandai Games,Misc,NA,Misc,2006,2006,T,T,4,4,4,4,NA,No,NA,NA,NA,NA,NA
Peter Jackson's King Kong: The Official Game of the Movie,Ubisoft,Ubisoft,ActionAdventure,ActionAdventure,NA,2005,2005,T,T,1,1,NA,NA,82,No,0.34,0.17,NA,0.02,0.53
Petit Copter,Aquasystem,Other,Simulation,NA,Simulation,2002,2002,E,E,1,1,NA,NA,NA,No,NA,NA,NA,NA,NA
PGR: Project Gotham Racing 2,Microsoft Game Studios,Microsoft Game Studios,Racing,Racing,NA,2003,2003,E,E,4,4,8,8,90,Yes,0.97,0.59,0.04,0.1,1.7
Phantasy Star Online Episode I & II,Sega,Sega,RPG,NA,RPG,2003,2003,T,T,4,4,4,4,83,No,0.11,0.03,NA,0.01,0.15
Phantom Crash,Phantagram,Other,Simulation,NA,Simulation,2002,2002,T,T,4,4,NA,NA,74,Yes,0.03,0.01,0.01,NA,0.05
Phantom Dust,Microsoft Game Studios,Microsoft Game Studios,Shooter,Shooter,NA,2004,2004,T,T,2,2,4,4,81,Yes,0.08,0.02,NA,NA,0.11
Pinball Hall of Fame: The Gottlieb Collection,Crave Entertainment,Other,Misc,NA,Misc,2004,2004,E,E,4,4,NA,NA,70,No,0.06,0.02,NA,NA,0.08
