game,publisher,publisher2,genre,genre_ma,genre_mi,year,year2,esrb,esrb2,local_player,local_player2,online_player,online_player2,metacritic,exclusive,sales_na,sales_eu,sales_jp,sales_o,sales_total
Test Drive Off-Road Wide Open,Infogrames,Other,Racing,Racing,NA,2001,2002,E,E,4,4,NA,NA,64,No,0.15,0.03,NA,0.01,0.18
Test Drive: Eve of Destruction,Atari,Atari,Racing,Racing,NA,2004,2004,T,T,4,4,NA,NA,72,No,0.07,0.02,NA,NA,0.09
Tetris Worlds,THQ,THQ,Puzzle,NA,Puzzle,2002,2002,E,E,4,4,NA,NA,53,No,NA,NA,NA,NA,NA
Tetris Worlds (Online Edition),THQ,THQ,Puzzle,NA,Puzzle,2003,2003,E,E,4,4,4,4,62,Yes,0.15,0.04,NA,0.01,0.2
The Bard's Tale,Ubisoft,Ubisoft,RPG,NA,RPG,2004,2004,T,T,1,1,NA,NA,75,No,0.08,0.02,NA,NA,0.1
The Bible Game,Crave Entertainment,Other,Party,NA,Party,2005,2005,E,E,4,4,NA,NA,60,No,0.03,0.01,NA,NA,0.05
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",Disney Interactive Studios,Other,ActionAdventure,ActionAdventure,NA,2005,2005,T,T,2,2,NA,NA,72,No,0.15,0.04,NA,0.01,0.2
The Chronicles of Riddick: Escape from Butcher Bay,Vivendi Games,Vivendi Games,Shooter,Shooter,NA,2004,2004,M,M,1,1,NA,NA,89,Yes,0.32,0.11,NA,0.02,0.45
The Da Vinci Code,Take-Two Interactive,Take-Two Interactive,ActionAdventure,ActionAdventure,NA,2006,2006,T,T,1,1,NA,NA,52,No,0.03,0.01,NA,NA,0.04
The Dukes of Hazzard: Return of the General Lee,Ubisoft,Ubisoft,Racing,Racing,NA,2004,2004,E,E,2,2,NA,NA,49,No,0.06,0.02,NA,NA,0.08
The Elder Scrolls III: Morrowind,Ubisoft,Ubisoft,RPG,NA,RPG,2002,2002,T,T,1,1,NA,NA,87,Yes,2.09,0.63,0.03,0.11,2.86
The Fairly Odd Parents: Breakin Da Rules,THQ,THQ,Platformer,NA,Platformer,2003,2003,E,E,1,1,NA,NA,NA,No,0.08,0.02,NA,NA,0.11
The Godfather ,Electronic Arts,Electronic Arts,ActionAdventure,ActionAdventure,NA,2006,2006,M,M,1,1,NA,NA,77,No,0.75,0.21,NA,0.04,1
The Great Escape,SCi,Other,ActionAdventure,ActionAdventure,NA,2003,2003,T,T,1,1,NA,NA,55,No,0.05,0.01,NA,NA,0.06
The Guy Game,Gathering of Developers,Other,Party,NA,Party,2004,2004,M,M,4,4,NA,NA,47,No,0.05,0.02,NA,NA,0.07
The Hobbit,Vivendi Games,Vivendi Games,Platformer,NA,Platformer,2003,2003,E,E,1,1,NA,NA,60,No,0.18,0.05,NA,0.01,0.24
The House of The Dead III,Sega,Sega,Shooter,Shooter,NA,2002,2002,M,M,2,2,NA,NA,72,Yes,0.29,0.08,NA,0.01,0.39
The Hustle: Detroit Streets,Activision,Activision,Sports,Sports,NA,2006,2006,T,T,1,1,2,2,52,No,0.01,NA,NA,NA,0.02
The Incredible Hulk: Ultimate Destruction,Vivendi Games,Vivendi Games,ActionAdventure,ActionAdventure,NA,2005,2005,T,T,1,1,NA,NA,84,No,0.17,0.05,NA,0.01,0.23
The Incredibles,THQ,THQ,ActionAdventure,ActionAdventure,NA,2004,2004,T,T,1,1,NA,NA,64,No,NA,NA,NA,NA,NA
The Incredibles: Rise of the Underminer,THQ,THQ,Platformer,NA,Platformer,2005,2005,E10,E,2,2,NA,NA,63,No,0.06,0.02,NA,NA,0.09
The Italian Job,Eidos Interactive,Eidos Interactive,Racing,Racing,NA,2003,2003,T,T,2,2,NA,NA,54,No,0.06,0.02,NA,NA,0.08
The King of Fighters 02/03,SNK Playmore,Other,Fighting,NA,Fighting,2005,2005,T,T,2,2,2,2,76,No,0.02,0.01,NA,NA,0.03
The King of Fighters NeoWave,SNK Playmore,Other,Fighting,NA,Fighting,2006,2006,T,T,2,2,2,2,62,No,0.02,NA,NA,NA,0.02
The King of Fighters: Maximum Impact - Maniax,SNK Playmore,Other,Fighting,NA,Fighting,2005,2005,T,T,2,2,2,2,69,No,0.02,0.01,NA,NA,0.03
The Legend of Spyro: A New Beginning,Vivendi Games,Vivendi Games,Platformer,NA,Platformer,2006,2006,E10,E,1,1,NA,NA,69,No,NA,NA,NA,NA,NA
The Lord of the Rings: The Fellowship of the Ring,Universal Interactive,Other,ActionAdventure,ActionAdventure,NA,2002,2002,T,T,1,1,NA,NA,59,No,0.31,0.19,NA,0.03,0.53
The Lord of the Rings: The Return of the King,Electronic Arts,Electronic Arts,ActionAdventure,ActionAdventure,NA,2003,2003,T,T,2,2,NA,NA,84,No,0.71,0.38,NA,0.05,1.14
The Lord of the Rings: The Two Towers,Electronic Arts,Electronic Arts,ActionAdventure,ActionAdventure,NA,2002,2002,T,T,1,1,NA,NA,79,No,0.45,0.24,NA,0.03,0.71
The Matrix: Path of Neo,Atari,Atari,ActionAdventure,ActionAdventure,NA,2005,2005,T,T,1,1,NA,NA,73,No,0.23,0.07,NA,0.01,0.31
The Punisher,THQ,THQ,ActionAdventure,ActionAdventure,NA,2005,2005,M,M,1,1,NA,NA,69,No,0.22,0.06,NA,0.01,0.29
The Simpsons: Hit & Run,Vivendi Games,Vivendi Games,Racing,Racing,NA,2003,2003,T,T,4,4,NA,NA,81,No,0.7,0.58,NA,0.07,1.35
The Simpsons: Road Rage,Electronic Arts,Electronic Arts,Racing,Racing,NA,2001,2002,T,T,2,2,NA,NA,61,No,0.78,0.26,NA,0.01,1.05
The Sims,Electronic Arts,Electronic Arts,Simulation,NA,Simulation,2003,2003,T,T,2,2,NA,NA,84,No,0.31,0.1,NA,0.01,0.42
The Sims 2,Electronic Arts,Electronic Arts,Simulation,NA,Simulation,2005,2005,T,T,2,2,NA,NA,75,No,0.19,0.05,NA,0.01,0.25
The Sims: Bustin' Out,Electronic Arts,Electronic Arts,Simulation,NA,Simulation,2003,2003,T,T,2,2,NA,NA,81,No,0.4,0.14,NA,0.02,0.56
The SpongeBob SquarePants Movie,THQ,THQ,Platformer,NA,Platformer,2004,2004,E,E,1,1,NA,NA,74,No,0.4,0.12,NA,0.02,0.54
The Suffering,Midway Games,Midway Games,ActionAdventure,ActionAdventure,NA,2004,2004,M,M,1,1,NA,NA,77,No,0.16,0.05,NA,0.01,0.22
The Suffering: Ties That Bind,Midway Games,Midway Games,ActionAdventure,ActionAdventure,NA,2005,2005,M,M,1,1,NA,NA,76,No,0.07,0.02,NA,NA,0.09
The Terminator: Dawn of Fate,Atari,Atari,ActionAdventure,ActionAdventure,NA,2002,2002,T,T,1,1,NA,NA,53,No,0.11,0.03,NA,0.01,0.15
The Thing,Vivendi Games,Vivendi Games,ActionAdventure,ActionAdventure,NA,2002,2002,M,M,1,1,NA,NA,78,No,0.15,0.04,NA,0.01,0.2
The Urbz: Sims in the City,Electronic Arts,Electronic Arts,Simulation,NA,Simulation,2004,2004,T,T,2,2,NA,NA,70,No,0.22,0.11,NA,0.01,0.34
The Warriors,Take-Two Interactive,Take-Two Interactive,ActionAdventure,ActionAdventure,NA,2005,2005,M,M,2,2,NA,NA,85,No,0.21,0.06,NA,0.01,0.28
Thief: Deadly Shadows,Eidos Interactive,Eidos Interactive,ActionAdventure,ActionAdventure,NA,2004,2004,M,M,1,1,NA,NA,82,Yes,0.13,0.04,NA,0.01,0.17
Thrillville,LucasArts,LucasArts,Strategy,NA,Strategy,2006,2006,E10,E,4,4,NA,NA,71,No,NA,NA,NA,NA,NA
Tiger Woods PGA Tour 06,Electronic Arts,Electronic Arts,Sports,Sports,NA,2005,2005,E,E,4,4,4,4,81,No,0.35,0.11,NA,0.02,0.48
Tiger Woods PGA Tour 07,Electronic Arts,Electronic Arts,Sports,Sports,NA,2006,2006,E,E,4,4,4,4,81,No,0.13,0.05,NA,0.01,0.19
Tiger Woods PGA Tour 2003,Electronic Arts,Electronic Arts,Sports,Sports,NA,2002,2002,E,E,4,4,NA,NA,88,No,0.35,0.08,NA,0.01,0.44
Tiger Woods PGA Tour 2004,Electronic Arts,Electronic Arts,Sports,Sports,NA,2003,2003,E,E,4,4,NA,NA,89,No,0.47,0.13,NA,0.02,0.62
Tiger Woods PGA Tour 2005,Electronic Arts,Electronic Arts,Sports,Sports,NA,2004,2004,E,E,4,4,4,4,88,No,0.64,0.18,NA,0.03,0.85
Tim Burton's The Nightmare Before Christmas: Oogie's Revenge,Disney Interactive Studios,Other,ActionAdventure,ActionAdventure,NA,2005,2005,E10,E,1,1,NA,NA,65,No,0.06,0.02,NA,NA,0.09
TimeSplitters 2,Eidos Interactive,Eidos Interactive,Shooter,Shooter,NA,2002,2002,T,T,4,4,NA,NA,88,No,0.29,0.33,NA,0.01,0.64
TimeSplitters: Future Perfect,Electronic Arts,Electronic Arts,Shooter,Shooter,NA,2005,2005,M,M,4,4,16,16,83,No,0.12,0.03,NA,0.01,0.16
TMNT: Mutant Melee,Konami Digital Entertainment,Konami Digital Entertainment,Fighting,NA,Fighting,2005,2005,T,T,4,4,NA,NA,43,No,0.01,NA,NA,NA,0.02
TOCA Race Driver 2: Ultimate Racing Simulator,Codemasters,Codemasters,Racing,Racing,NA,2004,2004,T,T,2,2,12,8,NA,No,0.09,0.03,NA,NA,0.13
TOCA Race Driver 2: Ultimate Racing Simulator & Colin McRae Rally 04,Codemasters,Codemasters,Racing,Racing,NA,2004,2004,T,T,2,2,12,8,NA,No,0.03,0.01,NA,NA,0.04
TOCA Race Driver 3: The Ultimate Racing Simulator,Codemasters,Codemasters,Racing,Racing,NA,2006,2006,E10,E,2,2,12,8,84,No,0.03,0.01,NA,NA,0.03
ToeJam & Earl III: Mission to Earth,Sega,Sega,ActionAdventure,ActionAdventure,NA,2002,2002,T,T,2,2,NA,NA,71,Yes,0.09,0.02,NA,NA,0.11
Tom and Jerry in War of the Whiskers,Warner Bros. Interactive Entertainment,Other,Fighting,NA,Fighting,2003,2003,T,T,4,4,NA,NA,NA,No,0.02,0.01,NA,NA,0.03
Tom Clancy's Classic Trilogy,Ubisoft,Ubisoft,Shooter,Shooter,NA,2004,2004,M,M,4,4,16,16,NA,Yes,0.07,0.02,NA,NA,0.1
Tom Clancy's Ghost Recon,Ubisoft,Ubisoft,Shooter,Shooter,NA,2002,2002,M,M,4,4,16,16,84,No,1.23,0.46,NA,0.07,1.76
Tom Clancy's Ghost Recon 2,Ubisoft,Ubisoft,Shooter,Shooter,NA,2004,2004,T,T,4,4,16,16,80,No,0.86,0.45,NA,0.06,1.36
Tom Clancy's Ghost Recon 2: Summit Strike,Ubisoft,Ubisoft,Shooter,Shooter,NA,2005,2005,T,T,4,4,16,16,84,Yes,0.29,0.08,NA,0.01,0.39
Tom Clancy's Ghost Recon Advanced Warfighter,Ubisoft,Ubisoft,Shooter,Shooter,NA,2006,2006,T,T,4,4,16,16,66,No,0.21,0.11,NA,0.01,0.33
Tom Clancy's Ghost Recon: Island Thunder,Ubisoft,Ubisoft,Shooter,Shooter,NA,2003,2003,M,M,2,2,16,16,81,Yes,0.61,0.24,NA,0.03,0.87
Tom Clancy's Rainbow Six 3,Ubisoft,Ubisoft,Shooter,Shooter,NA,2003,2003,M,M,1,1,16,16,86,No,0.91,0.57,NA,0.07,1.55
Tom Clancy's Rainbow Six 3: Black Arrow,Ubisoft,Ubisoft,Shooter,Shooter,NA,2004,2004,M,M,4,4,16,16,84,Yes,0.99,0.12,NA,0.02,1.13
Tom Clancy's Rainbow Six: Critical Hour,Ubisoft,Ubisoft,Shooter,Shooter,NA,2006,2006,M,M,4,4,16,16,54,Yes,0.04,0.01,NA,NA,0.06
Tom Clancy's Rainbow Six: Lockdown,Ubisoft,Ubisoft,Shooter,Shooter,NA,2005,2005,M,M,4,4,16,16,74,No,0.26,0.13,NA,0.02,0.41
Tom Clancy's Splinter Cell,Ubisoft,Ubisoft,ActionAdventure,ActionAdventure,NA,2002,2002,T,T,1,1,NA,NA,93,No,1.85,1.04,NA,0.13,3.02
Tom Clancy's Splinter Cell: Chaos Theory,Ubisoft,Ubisoft,ActionAdventure,ActionAdventure,NA,2005,2005,M,M,2,2,4,4,94,No,0.68,0.38,NA,0.05,1.11
Tom Clancy's Splinter Cell: Double Agent,Ubisoft,Ubisoft,ActionAdventure,ActionAdventure,NA,2006,2006,M,M,2,2,6,4,89,No,NA,NA,NA,NA,NA
Tom Clancy's Splinter Cell: Pandora Tomorrow,Ubisoft,Ubisoft,ActionAdventure,ActionAdventure,NA,2004,2004,M,M,4,4,4,4,93,No,0.82,0.59,NA,0.07,1.48
Tomb Raider: Legend,Eidos Interactive,Eidos Interactive,ActionAdventure,ActionAdventure,NA,2006,2006,T,T,1,1,NA,NA,82,No,0.1,0.03,NA,NA,0.13
Tony Hawk's American Wasteland,Activision,Activision,Sports,Sports,NA,2005,2005,T,T,2,2,2,2,77,No,0.4,0.2,NA,0.03,0.62
Tony Hawk's Pro Skater 2x,Activision,Activision,Sports,Sports,NA,2001,2002,T,T,4,4,NA,NA,78,Yes,0.41,0.19,NA,0.03,0.63
Tony Hawk's Pro Skater 3,Activision,Activision,Sports,Sports,NA,2002,2002,T,T,4,4,NA,NA,93,No,0.34,0.18,NA,0.02,0.55
Tony Hawk's Pro Skater 4,Activision,Activision,Sports,Sports,NA,2002,2002,T,T,2,2,NA,NA,90,No,0.59,0.3,NA,0.04,0.93
Tony Hawk's Project 8,Activision,Activision,Sports,Sports,NA,2006,2006,T,T,2,2,NA,NA,67,No,NA,NA,NA,NA,NA
Tony Hawk's Underground,Activision,Activision,Sports,Sports,NA,2003,2003,T,T,2,2,NA,NA,85,No,0.85,0.37,NA,0.05,1.27
Tony Hawk's Underground 2,Activision,Activision,Sports,Sports,NA,2004,2004,T,T,2,2,NA,NA,83,No,0.48,0.24,NA,0.03,0.75
Top Gear RPM Tuning,Wanadoo,Other,Racing,Racing,NA,2005,2005,T,T,2,2,NA,NA,45,No,0.01,NA,NA,NA,0.02
Top Spin,Microsoft Game Studios,Microsoft Game Studios,Sports,Sports,NA,2003,2003,E,E,4,4,4,4,89,No,0.36,0.08,NA,0.02,0.46
Torino 2006,Take-Two Interactive,Take-Two Interactive,Sports,Sports,NA,2006,2006,E,E,4,4,NA,NA,36,No,0.03,0.01,NA,NA,0.04
Tork: Prehistoric Punk,Microsoft Game Studios,Microsoft Game Studios,Platformer,NA,Platformer,2005,2005,E,E,1,1,NA,NA,62,Yes,0.02,0.01,NA,NA,0.03
Total Club Manager 2005,Electronic Arts,Electronic Arts,Sports,Sports,NA,2004,2004,E,E,1,1,NA,NA,NA,No,NA,NA,NA,NA,NA
Total Immersion Racing,Empire Interactive,Empire Interactive,Racing,Racing,NA,2002,2002,E,E,2,2,NA,NA,60,No,0.02,0.01,NA,NA,0.02
Total Overdose: A Gunslinger's Tale in Mexico,Eidos Interactive,Eidos Interactive,Shooter,Shooter,NA,2005,2005,M,M,1,1,NA,NA,71,No,0.02,0.01,NA,NA,0.02
Totaled!,Rage Software,Other,Racing,Racing,NA,2002,2002,T,T,4,4,NA,NA,55,No,0.05,0.02,NA,NA,0.07
Toxic Grind,THQ,THQ,Sports,Sports,NA,2002,2002,T,T,2,2,NA,NA,49,Yes,0.02,NA,NA,NA,0.02
Transworld Snowboarding,Atari,Atari,Sports,Sports,NA,2002,2002,T,T,4,4,NA,NA,74,Yes,0.07,0.02,NA,NA,0.09
Transworld Surf,Atari,Atari,Sports,Sports,NA,2001,2002,T,T,4,4,NA,NA,76,No,0.1,0.03,NA,NA,0.13
Trigger Man,Crave Entertainment,Other,Shooter,Shooter,NA,2004,2004,T,T,1,1,NA,NA,31,No,0.03,0.01,NA,NA,0.05
Triple Play 2002,Electronic Arts,Electronic Arts,Sports,Sports,NA,2002,2002,E,E,2,2,NA,NA,64,No,0.19,0.05,NA,0.01,0.25
Trivial Pursuit unhinged,Atari,Atari,Party,NA,Party,2004,2004,E,E,4,4,6,4,58,No,0.07,0.02,NA,NA,0.09
Tron 2.0: Killer App,Disney Interactive Studios,Other,ActionAdventure,ActionAdventure,NA,2004,2004,T,T,4,4,16,16,69,Yes,0.04,0.01,NA,NA,0.06
True Crime: New York City,Activision,Activision,ActionAdventure,ActionAdventure,NA,2005,2005,M,M,1,1,NA,NA,60,No,0.21,0.06,NA,0.01,0.28
True Crime: Streets of LA,Activision,Activision,ActionAdventure,ActionAdventure,NA,2003,2003,M,M,1,1,NA,NA,77,No,0.96,0.37,NA,0.05,1.38
Turok: Evolution,Acclaim Entertainment,Acclaim Entertainment,Shooter,Shooter,NA,2002,2002,M,M,4,4,NA,NA,68,No,0.39,0.14,NA,0.02,0.55
Ty the Tasmanian Tiger,Electronic Arts,Electronic Arts,Platformer,NA,Platformer,2002,2002,E,E,1,1,NA,NA,68,No,0.14,0.04,NA,0.01,0.18
Ty the Tasmanian Tiger 2: Bush Rescue,Electronic Arts,Electronic Arts,Platformer,NA,Platformer,2004,2004,E,E,2,2,NA,NA,69,No,0.08,0.02,NA,NA,0.11
Ty the Tasmanian Tiger 3: Night of the Quinkan,Zoo Digital Publishing,Other,ActionAdventure,ActionAdventure,NA,2005,2005,E10,E,2,2,NA,NA,66,No,0.02,0.01,NA,NA,0.02
UEFA Champions League 2004-2005,Electronic Arts,Electronic Arts,Sports,Sports,NA,2005,2005,E,E,4,4,8,8,NA,No,NA,NA,NA,NA,NA
UEFA Euro 2004: Portugal,Electronic Arts,Electronic Arts,Sports,Sports,NA,2004,2004,E,E,4,4,NA,NA,74,No,0.04,0.01,NA,NA,0.05
UFC: Tapout,Crave Entertainment,Other,Fighting,NA,Fighting,2002,2002,T,T,2,2,NA,NA,NA,Yes,0.14,0.05,NA,0.01,0.2
UFC: Tapout 2,Take-Two Interactive,Take-Two Interactive,Fighting,NA,Fighting,2003,2003,T,T,2,2,NA,NA,66,Yes,0.08,0.02,NA,NA,0.1
Ultimate Beach Soccer,Wanadoo,Other,Sports,Sports,NA,2003,2003,E,E,4,4,NA,NA,39,No,0.01,NA,NA,NA,0.01
Ultimate Pro Pinball,Empire Interactive,Empire Interactive,Misc,NA,Misc,2005,2005,E,E,4,4,NA,NA,NA,No,NA,NA,NA,NA,NA
Ultimate Spider-Man,Activision,Activision,ActionAdventure,ActionAdventure,NA,2005,2005,T,T,1,1,NA,NA,77,No,0.26,0.11,NA,0.02,0.39
Ultra Bust-A-Move,505 Games,Other,Puzzle,NA,Puzzle,2004,2004,E,E,2,2,2,2,74,Yes,0.04,0.01,NA,NA,0.05
Umesawa Yukari no Igo Seminar,Success,Other,Misc,NA,Misc,2002,2002,E,E,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Unreal Championship,Atari,Atari,Shooter,Shooter,NA,2002,2002,M,M,4,4,8,8,83,Yes,0.59,0.12,NA,0.03,0.74
Unreal Championship 2: The Liandri Conflict,Midway Games,Midway Games,Shooter,Shooter,NA,2005,2005,M,M,2,2,8,8,85,Yes,0.22,0.05,NA,0.01,0.28
Unreal II: The Awakening,Atari,Atari,Shooter,Shooter,NA,2004,2004,M,M,2,2,12,8,64,Yes,0.17,0.04,NA,0.01,0.21
Urban Chaos: Riot Response,Eidos Interactive,Eidos Interactive,Shooter,Shooter,NA,2006,2006,M,M,4,4,8,8,72,No,0.01,NA,NA,NA,0.02
Van Helsing,Activision,Activision,ActionAdventure,ActionAdventure,NA,2007,2006,T,T,1,1,NA,NA,63,No,0.13,0.04,NA,0.01,0.18
Vexx,Acclaim Entertainment,Acclaim Entertainment,Platformer,NA,Platformer,2003,2003,T,T,1,1,NA,NA,70,No,0.08,0.02,NA,NA,0.1
Vietcong: Purple Haze,Gathering of Developers,Other,Shooter,Shooter,NA,2004,2004,M,M,1,1,10,8,57,No,0.06,0.02,NA,NA,0.08
Virtual Pool: Tournament Edition,Global Star,Global Star,Sports,Sports,NA,2005,2005,E,E,2,2,NA,NA,62,Yes,0.02,0.01,NA,NA,0.03
Voodoo Vince,Microsoft Game Studios,Microsoft Game Studios,Platformer,NA,Platformer,2003,2003,T,T,1,1,NA,NA,73,Yes,0.09,0.03,NA,NA,0.12
V-Rally 3,Atari,Atari,Racing,Racing,NA,2003,2003,E,E,4,4,NA,NA,76,No,0.01,NA,NA,NA,0.02
Wakeboarding Unleashed Featuring Shaun Murray,Activision,Activision,Sports,Sports,NA,2003,2003,E,E,2,2,NA,NA,80,No,0.04,0.01,NA,NA,0.05
Wallace & Gromit in Project Zoo,BAM! Entertainment,Other,Platformer,NA,Platformer,2003,2003,E,E,1,1,NA,NA,63,No,0.02,0.01,NA,NA,0.03
Wallace & Gromit: Curse of the Were-Rabbit,Konami Digital Entertainment,Konami Digital Entertainment,ActionAdventure,ActionAdventure,NA,2005,2005,E,E,1,1,NA,NA,70,No,0.01,NA,NA,NA,0.01
Warpath,Groove Games,Other,Shooter,Shooter,NA,2006,2006,T,T,4,4,16,16,53,Yes,NA,NA,NA,NA,NA
Whacked!,Microsoft Game Studios,Microsoft Game Studios,Party,NA,Party,2002,2002,T,T,4,4,8,8,59,Yes,0.07,0.02,NA,NA,0.09
Whiplash,Eidos Interactive,Eidos Interactive,Racing,Racing,NA,2003,2003,E,E,1,1,NA,NA,68,No,0.04,0.01,NA,NA,0.06
Whiteout,Konami Digital Entertainment,Konami Digital Entertainment,Racing,Racing,NA,2002,2002,T,T,2,2,NA,NA,58,No,0.02,0.01,NA,NA,0.03
WinBack 2: Project Poseidon,Tecmo Koei,Tecmo Koei,Shooter,Shooter,NA,2006,2006,T,T,4,4,NA,NA,52,No,NA,NA,NA,NA,NA
Wings of War,Take-Two Interactive,Take-Two Interactive,Simulation,NA,Simulation,2004,2004,T,T,1,1,NA,NA,62,Yes,0.05,0.01,NA,NA,0.06
Without Warning,Capcom,Capcom,Shooter,Shooter,NA,2005,2005,M,M,1,1,NA,NA,45,No,0.01,NA,NA,NA,0.02
World Championship Poker,Crave Entertainment,Other,Misc,NA,Misc,2004,2004,E,E,1,1,6,4,66,No,0.37,0.11,NA,0.02,0.51
World Championship Poker 2: Featuring Howard Lederer,Crave Entertainment,Other,Misc,NA,Misc,2005,2005,T,T,1,1,8,8,71,No,0.07,0.02,NA,NA,0.09
World Championship Pool 2004,Jaleco,Other,Sports,Sports,NA,2003,2003,E,E,2,2,2,2,67,No,0.03,0.01,NA,NA,0.04
World Championship Rugby,Acclaim Entertainment,Acclaim Entertainment,Sports,Sports,NA,2004,2004,E,E,4,4,NA,NA,NA,No,NA,NA,NA,NA,NA
World Poker Tour,Take-Two Interactive,Take-Two Interactive,Misc,NA,Misc,2005,2005,T,T,1,1,6,4,63,No,0.05,0.01,NA,NA,0.06
World Racing,Take-Two Interactive,Take-Two Interactive,Racing,Racing,NA,2003,2003,E,E,4,4,NA,NA,56,No,0.05,0.01,NA,NA,0.07
World Racing 2,Playlogic Game Factory,Other,Racing,Racing,NA,2005,2005,E,E,4,4,4,4,47,No,NA,NA,NA,NA,NA
World Series Baseball,Sega,Sega,Sports,Sports,NA,2002,2002,E,E,2,2,NA,NA,85,No,0.17,0.05,NA,0.01,0.23
World Series Baseball 2K3,Sega,Sega,Sports,Sports,NA,2003,2003,E,E,2,2,NA,NA,89,No,0.11,0.03,NA,0.01,0.15
World Series of Poker,Activision,Activision,Misc,NA,Misc,2005,2005,E,E,1,1,10,8,52,No,0.19,0.05,NA,0.01,0.25
World Snooker Championship 2005,Sega,Sega,Sports,Sports,NA,2005,2005,E,E,4,4,4,4,NA,No,NA,NA,NA,NA,NA
World Soccer Winning Eleven 8 International,Konami Digital Entertainment,Konami Digital Entertainment,Sports,Sports,NA,2004,2004,E,E,4,4,NA,NA,90,No,0.07,0.02,NA,NA,0.09
World Soccer Winning Eleven 9,Konami Digital Entertainment,Konami Digital Entertainment,Sports,Sports,NA,2005,2005,E,E,4,4,2,2,89,No,0.06,0.33,0.02,0.03,0.44
World War II Combat: Iwo Jima,Groove Games,Other,Shooter,Shooter,NA,2006,2006,M,M,4,4,16,16,25,Yes,0.01,NA,NA,NA,0.01
World War II Combat: Road To Berlin,Groove Games,Other,Shooter,Shooter,NA,2006,2006,M,M,4,4,16,16,NA,Yes,0.02,0.01,NA,NA,0.03
Worms 3D,Sega,Sega,Strategy,NA,Strategy,2003,2003,T,T,4,4,4,4,69,No,0.04,0.01,NA,NA,0.06
Worms 4: Mayhem,Codemasters,Codemasters,Strategy,NA,Strategy,2005,2005,T,T,4,4,4,4,69,No,0.03,0.01,NA,NA,0.04
Worms Forts: Under Siege,Sega,Sega,Strategy,NA,Strategy,2004,2004,T,T,4,4,NA,NA,67,No,0.05,0.01,NA,NA,0.07
Wrath Unleashed,LucasArts,LucasArts,Strategy,NA,Strategy,2004,2004,T,T,4,4,NA,NA,69,No,0.03,0.01,NA,NA,0.05
Wreckless: ThE YaKuza MisSiOns,Activision,Activision,Racing,Racing,NA,2002,2002,T,T,1,1,NA,NA,74,No,0.42,0.11,0.02,0.02,0.57
WTA Tour Tennis,Konami Digital Entertainment,Konami Digital Entertainment,Sports,Sports,NA,2002,2002,E,E,4,4,NA,NA,NA,No,0.01,NA,NA,NA,0.01
WWE Raw 2,THQ,THQ,Fighting,NA,Fighting,2003,2003,T,T,4,4,NA,NA,68,Yes,0.43,0.11,NA,0.02,0.56
WWE WrestleMania 21,THQ,THQ,Fighting,NA,Fighting,2005,2005,T,T,1,1,4,4,56,Yes,0.34,0.1,NA,0.02,0.45
WWF Raw,THQ,THQ,Fighting,NA,Fighting,2002,2002,T,T,4,4,NA,NA,68,Yes,0.4,0.13,NA,0.02,0.55
X2: Wolverine's Revenge,Activision,Activision,Platformer,NA,Platformer,2003,2003,T,T,1,1,NA,NA,58,No,0.15,0.04,NA,0.01,0.21
Xbox Music Mixer,Microsoft Game Studios,Microsoft Game Studios,Music,NA,Music,2003,2003,E,E,1,1,NA,NA,49,Yes,0.26,0.08,NA,0.01,0.35
XGRA: Extreme G Racing Association,Acclaim Entertainment,Acclaim Entertainment,Racing,Racing,NA,2003,2003,T,T,4,4,NA,NA,66,No,0.02,NA,NA,NA,0.02
Xiaolin Showdown,Konami Digital Entertainment,Konami Digital Entertainment,ActionAdventure,ActionAdventure,NA,2006,2006,E,E,4,4,NA,NA,40,No,NA,NA,NA,NA,NA
XIII,Ubisoft,Ubisoft,Shooter,Shooter,NA,2003,2003,M,M,4,4,16,16,74,No,0.16,0.08,NA,0.01,0.25
X-Men Legends,Activision,Activision,RPG,NA,RPG,2004,2004,T,T,4,4,NA,NA,82,No,0.62,0.24,NA,0.04,0.9
X-Men Legends II: Rise of Apocalypse,Activision,Activision,RPG,NA,RPG,2005,2005,T,T,4,4,4,4,84,No,0.3,0.12,NA,0.02,0.44
X-Men: Next Dimension,Activision,Activision,Fighting,NA,Fighting,2002,2002,T,T,2,2,NA,NA,56,No,0.08,0.02,NA,NA,0.11
X-Men: The Official Game,Activision,Activision,ActionAdventure,ActionAdventure,NA,2006,2006,T,T,1,1,NA,NA,53,No,0.08,0.02,NA,NA,0.1
Xyanide,Playlogic Game Factory,Other,Shooter,Shooter,NA,2006,2006,T,T,2,2,NA,NA,70,Yes,NA,NA,NA,NA,NA
Yager,THQ,THQ,Shooter,Shooter,NA,2003,2003,T,T,1,1,NA,NA,70,Yes,0.03,0.01,NA,NA,0.05
Yourself Fitness,responDESIGN,Other,Sports,Sports,NA,2004,2004,E,E,1,1,NA,NA,80,No,0.07,0.02,NA,NA,0.09
Yu-Gi-Oh! The Dawn of Destiny,Konami Digital Entertainment,Konami Digital Entertainment,Strategy,NA,Strategy,2004,2004,E,E,2,2,NA,NA,53,Yes,0.23,0.07,NA,0.01,0.31
