game,publisher,publisher2,genre,genre2,year,year2,esrb,esrb2,local_player,local_player2,online_player,online_player2,metacritic,exclusive,sales_na,sales_eu,sales_jp,sales_o,sales_total
Jacked,JoWood Productions,Other,Racing,Racing,2006,2006,T,T,2,2,NA,NA,NA,No,NA,NA,NA,NA,NA
Jackie Chan Adventures,Sony Computer Entertainment,Sony Computer Entertainment,ActionAdventure,ActionAdventure,2001,2001,E,E,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Jade Cocoon 2,Ubisoft,Ubisoft,RPG,RPG,2001,2001,T,T,2,2,NA,NA,76,Yes,0.05,0.04,NA,0.01,0.1
Jak 3,Sony Computer Entertainment,Sony Computer Entertainment,Platformer,Platformer,2004,2004,T,T,1,1,NA,NA,84,Yes,1.33,0.49,NA,0.03,1.85
Jak and Daxter: The Lost Frontier,Sony Computer Entertainment,Sony Computer Entertainment,Platformer,Platformer,2009,2009,E10,E,1,1,NA,NA,72,Yes,0.22,0.17,NA,0.06,0.46
Jak and Daxter: The Precursor Legacy,Sony Computer Entertainment,Sony Computer Entertainment,Platformer,Platformer,2001,2001,E,E,1,1,NA,NA,90,Yes,2.08,1.09,0.15,0.33,3.64
Jak II,Sony Computer Entertainment,Sony Computer Entertainment,Platformer,Platformer,2003,2003,T,T,1,1,NA,NA,87,Yes,1.68,0.74,NA,0.36,2.78
Jak X: Combat Racing,Sony Computer Entertainment,Sony Computer Entertainment,Racing,Racing,2005,2005,T,T,2,2,6,4,76,Yes,0.45,0.02,NA,0.07,0.55
James Bond 007: Agent Under Fire,Electronic Arts,Electronic Arts,Shooter,Shooter,2001,2001,T,T,4,4,NA,NA,72,No,1.9,1.13,0.1,0.41,3.53
James Bond 007: Everything or Nothing,Electronic Arts,Electronic Arts,Shooter,Shooter,2004,2004,T,T,4,4,NA,NA,84,No,0.85,1.06,0.09,0.32,2.31
James Bond 007: Nightfire,Electronic Arts,Electronic Arts,Shooter,Shooter,2002,2002,T,T,4,4,NA,NA,77,No,1.45,1.29,0.12,0.46,3.33
James Cameron's Dark Angel,Universal Interactive,Other,ActionAdventure,ActionAdventure,2002,2002,T,T,1,1,NA,NA,48,No,0.08,0.07,NA,0.02,0.17
Jan Sangoku Musou,Tecmo Koei,Tecmo Koei,Misc,Misc,2006,2006,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,0.01,NA,0.01
Jaws Unleashed,THQ,THQ,ActionAdventure,ActionAdventure,2006,2006,M,M,1,1,NA,NA,52,Yes,0.5,0.02,NA,0.08,0.6
Jeep Thrills,Zoo Digital Publishing,Other,Racing,Racing,2008,2008,E,E,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Jello,Phoenix Games,Phoenix Games,Puzzle,Other,2005,2005,E,E,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Jelly Belly: Ballistic Beans,Zoo Digital Publishing,Other,Puzzle,Other,2009,2009,E,E,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Jeopardy!,Atari,Atari,Misc,Misc,2003,2003,E,E,3,2,NA,NA,62,Yes,0.24,0.18,NA,0.06,0.48
Jeremy McGrath Supercross World,Acclaim Entertainment,Acclaim Entertainment,Racing,Racing,2001,2001,T,T,2,2,NA,NA,35,Yes,0.11,0.09,NA,0.03,0.23
Jet de Go! 2: Let's Go By Airliner,Taito,Other,Simulation,Simulation,2002,2002,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Jet Li: Rise to Honor,Sony Computer Entertainment,Sony Computer Entertainment,ActionAdventure,ActionAdventure,2004,2004,T,T,1,1,NA,NA,NA,Yes,0.62,0.48,NA,0.16,1.27
Jet X20,Unknown,Other,Racing,Racing,2002,2002,E,E,2,2,NA,NA,66,Yes,0.11,0.09,NA,0.03,0.23
Jewels Ocean: Star of Sierra Leone,Pione Soft,Other,JAdventure,JAdventure,2006,2006,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Jigoku Shoujo Mioyosuga,Compile Heart,Other Heart,JAdventure,JAdventure,2009,2009,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Jikkyou Jitsumei Keiba Dream Classic 2001 Autumn,Namco Bandai Games,Namco Bandai Games,Sports,Sports,2001,2001,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Jikkyou Jitsumei Keiba Dream Classic 2001 Spring,Namco Bandai Games,Namco Bandai Games,Sports,Sports,2001,2001,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Jikkyou Powerful Major League,Konami Digital Entertainment,Konami Digital Entertainment,Sports,Sports,2006,2006,NA,NA,2,2,NA,NA,NA,No,NA,NA,0.22,NA,0.22
Jikkyou Powerful Major League 2009,Konami Digital Entertainment,Konami Digital Entertainment,Sports,Sports,2009,2009,NA,NA,2,2,NA,NA,NA,Yes,NA,NA,0.08,NA,0.08
Jikkyou Powerful Pro Yakyuu 10,Konami Digital Entertainment,Konami Digital Entertainment,Sports,Sports,2003,2003,NA,NA,2,2,NA,NA,NA,No,NA,NA,0.51,NA,0.51
Jikkyou Powerful Pro Yakyuu 10 Chou Ketteiban: 2003 Memorial,Konami Digital Entertainment,Konami Digital Entertainment,Sports,Sports,2003,2003,NA,NA,2,2,NA,NA,NA,No,NA,NA,0.2,NA,0.2
Jikkyou Powerful Pro Yakyuu 11,Konami Digital Entertainment,Konami Digital Entertainment,Sports,Sports,2004,2004,NA,NA,2,2,NA,NA,NA,No,NA,NA,0.42,NA,0.42
Jikkyou Powerful Pro Yakyuu 11 Chou Ketteiban,Konami Digital Entertainment,Konami Digital Entertainment,Sports,Sports,2004,2004,NA,NA,2,2,NA,NA,NA,No,NA,NA,NA,NA,NA
Jikkyou Powerful Pro Yakyuu 12,Konami Digital Entertainment,Konami Digital Entertainment,Sports,Sports,2005,2005,NA,NA,2,2,NA,NA,NA,No,NA,NA,0.45,NA,0.45
Jikkyou Powerful Pro Yakyuu 12 Ketteiban,Konami Digital Entertainment,Konami Digital Entertainment,Sports,Sports,2005,2005,NA,NA,2,2,NA,NA,NA,No,NA,NA,0.11,NA,0.11
Jikkyou Powerful Pro Yakyuu 13,Konami Digital Entertainment,Konami Digital Entertainment,Sports,Sports,2006,2006,NA,NA,2,2,NA,NA,NA,Yes,NA,NA,0.35,NA,0.35
Jikkyou Powerful Pro Yakyuu 13 Ketteiban,Konami Digital Entertainment,Konami Digital Entertainment,Sports,Sports,2006,2006,NA,NA,2,2,NA,NA,NA,Yes,NA,NA,0.11,NA,0.11
Jikkyou Powerful Pro Yakyuu 14,Konami Digital Entertainment,Konami Digital Entertainment,Sports,Sports,2007,2007,NA,NA,2,2,NA,NA,NA,Yes,NA,NA,0.31,NA,0.31
Jikkyou Powerful Pro Yakyuu 14 Ketteiban,Konami Digital Entertainment,Konami Digital Entertainment,Sports,Sports,2007,2007,NA,NA,2,2,NA,NA,NA,Yes,NA,NA,0.09,NA,0.09
Jikkyou Powerful Pro Yakyuu 15,Konami Digital Entertainment,Konami Digital Entertainment,Sports,Sports,2008,2008,NA,NA,2,2,NA,NA,NA,Yes,NA,NA,0.24,NA,0.24
Jikkyou Powerful Pro Yakyuu 2009,Konami Digital Entertainment,Konami Digital Entertainment,Sports,Sports,2009,2009,NA,NA,2,2,NA,NA,NA,Yes,NA,NA,0.15,NA,0.15
Jikkyou Powerful Pro Yakyuu 7,Konami Digital Entertainment,Konami Digital Entertainment,Sports,Sports,2000,2001,NA,NA,2,2,NA,NA,NA,Yes,NA,NA,0.35,NA,0.35
Jikkyou Powerful Pro Yakyuu 7 Ketteiban,Konami Digital Entertainment,Konami Digital Entertainment,Sports,Sports,2000,2001,NA,NA,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Jikkyou Powerful Pro Yakyuu 8,Konami Digital Entertainment,Konami Digital Entertainment,Sports,Sports,2001,2001,NA,NA,2,2,NA,NA,NA,Yes,NA,NA,0.29,NA,0.29
Jikkyou Powerful Pro Yakyuu 8 Ketteiban,Konami Digital Entertainment,Konami Digital Entertainment,Sports,Sports,2001,2001,NA,NA,2,2,NA,NA,NA,Yes,NA,NA,0.12,NA,0.12
Jikkyou Powerful Pro Yakyuu 9,Konami Digital Entertainment,Konami Digital Entertainment,Sports,Sports,2002,2002,NA,NA,2,2,NA,NA,NA,No,NA,NA,0.44,NA,0.44
Jikkyou Powerful Pro Yakyuu 9 Ketteiban,Konami Digital Entertainment,Konami Digital Entertainment,Sports,Sports,2002,2002,NA,NA,2,2,NA,NA,NA,No,NA,NA,0.09,NA,0.09
Jikkyou World Soccer 2000 Final Edition,Konami Digital Entertainment,Konami Digital Entertainment,Sports,Sports,2000,2001,NA,NA,4,4,NA,NA,NA,No,NA,NA,0.66,NA,0.66
Jikkyou World Soccer 2002,Konami Digital Entertainment,Konami Digital Entertainment,Sports,Sports,2002,2002,NA,NA,4,4,NA,NA,NA,No,NA,NA,0.04,NA,0.04
Jimmy Neutron: Boy Genius,THQ,THQ,Platformer,Platformer,2002,2002,E,E,1,1,NA,NA,NA,No,0.2,0.16,NA,0.05,0.41
Jissen Pachinko Hisshouhou! Aladdin Destiny EX,Sega,Sega,Misc,Misc,2007,2007,E,E,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Jissen Pachinko Hisshouhou! CR Hokuto no Ken,Sega,Sega,Misc,Misc,2005,2005,E,E,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Jissen Pachinko Hisshouhou! CR Sakura Taisen,Sega,Sega,Misc,Misc,2007,2007,E,E,1,1,NA,NA,NA,Yes,NA,NA,0.02,NA,0.02
Jissen Pachi-Slot Hisshouhou! Aladdin A,Sammy Corporation,Other,Misc,Misc,2002,2002,E,E,1,1,NA,NA,NA,Yes,NA,NA,0.2,NA,0.2
Jissen Pachi-Slot Hisshouhou! Aladdin II Evolution,Sega,Sega,Misc,Misc,2005,2005,E,E,1,1,NA,NA,NA,Yes,NA,NA,0.13,NA,0.13
Jissen Pachi-Slot Hisshouhou! Hokuto no Ken 2,Sega,Sega,Misc,Misc,2007,2007,E,E,1,1,NA,NA,NA,Yes,NA,NA,0.03,NA,0.03
Jissen Pachi-Slot Hisshouhou! Hokuto no Ken Plus,Sega,Sega,Misc,Misc,2005,2005,E,E,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Jissen Pachi-Slot Hisshouhou! Hokuto no Ken SE,Sega,Sega,Misc,Misc,2006,2006,E,E,1,1,NA,NA,NA,Yes,NA,NA,0.24,NA,0.24
Jissen Pachi-Slot Hisshouhou! Mister Magic Neo,Sega,Sega,Misc,Misc,2007,2007,E,E,1,1,NA,NA,NA,Yes,NA,NA,0.02,NA,0.02
Jissen Pachi-Slot Hisshouhou! Moujuu-Oh S,Sammy Corporation,Other,Misc,Misc,2002,2002,E,E,1,1,NA,NA,NA,Yes,NA,NA,0.28,NA,0.28
Jissen Pachi-Slot Hisshouhou! Onimusha 3,Sega,Sega,Misc,Misc,2005,2005,E,E,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Jissen Pachi-Slot Hisshouhou! Selection: Salaryman Kintarou - Slotter Kintarou - Ore no Sora,Sega,Sega,Misc,Misc,2008,2008,E,E,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Jissen Pachi-Slot Hisshouhou! Ultraman Club,Sega,Sega,Misc,Misc,2006,2006,E,E,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Jissen Pachi-Slot Hisshouhou: Hokuto no Ken,Sammy Corporation,Other,Misc,Misc,2004,2004,E,E,1,1,NA,NA,NA,Yes,NA,NA,1,NA,1
Jitsumei Jikkyou Keiba Dream Classic 2002,Namco Bandai Games,Namco Bandai Games,Sports,Sports,2002,2002,E,E,1,1,NA,NA,NA,Yes,NA,NA,0.02,NA,0.02
J-League Pro Soccer Club o Tsukurou '04,Sega,Sega,Sports,Sports,2004,2004,E,E,2,2,NA,NA,NA,Yes,NA,NA,0.36,NA,0.36
J-League Pro Soccer Club o Tsukurou! 3,Sega,Sega,Sports,Sports,2003,2003,E,E,2,2,NA,NA,NA,Yes,NA,NA,0.52,NA,0.52
J-League Pro Soccer Club o Tsukurou! 5,Sega,Sega,Sports,Sports,2007,2007,E,E,2,2,NA,NA,NA,Yes,NA,NA,0.19,NA,0.19
J-League Winning Eleven 10 + Europa League 06-07,Konami Digital Entertainment,Konami Digital Entertainment,Sports,Sports,2006,2006,E,E,4,4,NA,NA,NA,Yes,NA,NA,0.21,NA,0.21
J-League Winning Eleven 2007: Club Championship,Konami Digital Entertainment,Konami Digital Entertainment,Sports,Sports,2007,2007,E,E,4,4,NA,NA,NA,Yes,NA,NA,0.31,NA,0.31
J-League Winning Eleven 2008: Club Championship,Konami Digital Entertainment,Konami Digital Entertainment,Sports,Sports,2008,2008,E,E,4,4,NA,NA,NA,Yes,NA,NA,0.22,NA,0.22
J-League Winning Eleven 2009: Club Championship,Konami Digital Entertainment,Konami Digital Entertainment,Sports,Sports,2009,2009,E,E,4,4,NA,NA,NA,Yes,NA,NA,0.08,NA,0.08
J-League Winning Eleven 2010: Club Championship,Konami Digital Entertainment,Konami Digital Entertainment,Sports,Sports,2010,2009,E,E,4,4,NA,NA,NA,Yes,NA,NA,0.05,NA,0.05
J-League Winning Eleven 9: Asia Championship,Konami Digital Entertainment,Konami Digital Entertainment,Sports,Sports,2005,2005,E,E,4,4,NA,NA,NA,Yes,NA,NA,0.11,NA,0.11
Jojo no Kimyou na Bouken: Phantom Blood,Namco Bandai Games,Namco Bandai Games,ActionAdventure,ActionAdventure,2006,2006,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,0.05,NA,0.05
Jojo no Kimyouna Bouken: Ougon no Kaze,Capcom,Capcom,ActionAdventure,ActionAdventure,2002,2002,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Jonny Moseley Mad Trix,3DO,Other,Sports,Sports,2001,2001,T,T,1,1,NA,NA,44,Yes,0.07,0.05,NA,0.02,0.14
Judge Dredd: Dredd Vs Death,BAM! Entertainment,Other,Shooter,Shooter,2003,2003,M,M,4,4,NA,NA,52,No,0.01,0.01,NA,NA,0.03
Judie no Atelier: Guramnat no Renkinjutsushi,Gust,Other,RPG,RPG,2002,2002,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,0.07,NA,0.07
Juiced,THQ,THQ,Racing,Racing,2005,2005,T,T,4,4,6,4,68,No,0.26,0.2,NA,0.07,0.53
Juiced 2: Hot Import Nights,THQ,THQ,Racing,Racing,2007,2007,T,T,2,2,NA,NA,66,Yes,0.19,0.15,0.01,0.05,0.39
Jumper: Griffin's Story,Eidos Interactive,Eidos Interactive,ActionAdventure,ActionAdventure,2008,2008,T,T,1,1,NA,NA,NA,Yes,0.03,0.03,NA,0.01,0.07
Junjou Romanchika: Koi no Doki Doki Daisakusen,Marvelous Interactive,Marvelous Interactive,JAdventure,JAdventure,2008,2008,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,0.01,NA,0.01
Jurassic Park: Operation Genesis,Konami Digital Entertainment,Konami Digital Entertainment,Simulation,Simulation,2003,2003,T,T,1,1,NA,NA,75,No,0.13,0.1,NA,0.03,0.27
Jurassic: The Hunted,Activision,Activision,Shooter,Shooter,2009,2009,T,T,1,1,NA,NA,NA,Yes,0.07,0.06,NA,0.02,0.14
Just Cause,Eidos Interactive,Eidos Interactive,ActionAdventure,ActionAdventure,2006,2006,M,M,1,1,NA,NA,68,No,0.01,0.01,NA,NA,0.02
Justice League Heroes,Warner Bros. Interactive Entertainment,Other,RPG,RPG,2006,2006,T,T,2,2,NA,NA,68,No,NA,NA,NA,NA,NA
Juujimoto Ripputai Sypher: Game of Survival,Abel,Other,JAdventure,JAdventure,2007,2007,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Juuni Kokuki: Guren no Shirobe Koujin no Michi,Konami Digital Entertainment,Konami Digital Entertainment,RPG,RPG,2003,2003,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Juuni Kokuki: Kakukakutaru Oudou Kouryoku no Uka,Konami Digital Entertainment,Konami Digital Entertainment,RPG,RPG,2004,2004,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
K.O. King,Phoenix Games,Phoenix Games,Sports,Sports,2006,2006,NA,NA,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
K-1 World Grand Prix,Konami Digital Entertainment,Konami Digital Entertainment,Sports,Sports,2002,2002,T,T,2,2,NA,NA,67,Yes,0.04,0.03,0.1,0.01,0.18
Ka 2: Let's Go Hawaii,Sony Computer Entertainment,Sony Computer Entertainment,Shooter,Shooter,2003,2003,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Kaena,Namco Bandai Games,Namco Bandai Games,ActionAdventure,ActionAdventure,2004,2004,T,T,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Kaeru Batake de Tsukamaete,Takuyo,Other,JAdventure,JAdventure,2010,2009,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Kaeru Batake de Tsukamete: Natsu Senbokuryou Sansen!,Takuyo,Other,JAdventure,JAdventure,2010,2009,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Kaido Racer,Konami Digital Entertainment,Konami Digital Entertainment,Racing,Racing,2004,2004,E,E,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Kaiketsu Zorori: Mezase! Itazura King,Namco Bandai Games,Namco Bandai Games,Party,Other,2004,2004,E,E,4,4,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Kakinoki Shogi IV,ASCII Entertainment,Other,Misc,Misc,2000,2001,E,E,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Kamaitachi no Yoru 2,ChunSoft,Other,ActionAdventure,ActionAdventure,2002,2002,NA,NA,2,2,NA,NA,NA,Yes,NA,NA,0.36,NA,0.36
Kamaitachi no Yoru ?? 3,Sega,Sega,ActionAdventure,ActionAdventure,2006,2006,NA,NA,2,2,NA,NA,NA,Yes,NA,NA,0.16,NA,0.16
Kamen Rider 555,Namco Bandai Games,Namco Bandai Games,ActionAdventure,ActionAdventure,2003,2003,NA,NA,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Kamen Rider Blade,Namco Bandai Games,Namco Bandai Games,ActionAdventure,ActionAdventure,2004,2004,NA,NA,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Kamen Rider Hibiki,Namco Bandai Games,Namco Bandai Games,ActionAdventure,ActionAdventure,2005,2005,NA,NA,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Kamen Rider Kabuto,Namco Bandai Games,Namco Bandai Games,ActionAdventure,ActionAdventure,2006,2006,NA,NA,2,2,NA,NA,NA,Yes,NA,NA,0.06,NA,0.06
Kamen Rider: Climax Heroes,Namco Bandai Games,Namco Bandai Games,Fighting,Fighting,2009,2009,NA,NA,2,2,NA,NA,NA,Yes,NA,NA,0.11,NA,0.11
Kamen Rider: Seigi no Keifu,Banpresto,Banpresto,ActionAdventure,ActionAdventure,2003,2003,NA,NA,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Kamiwaza,Acquire,Other,ActionAdventure,ActionAdventure,2006,2006,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,0.05,NA,0.05
Kamiyo Gakuen Makorouku Kurunugia,Idea Factory,Idea Factory,JAdventure,JAdventure,2008,2008,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,0.01,NA,0.01
Kanokon: Esuii,5pb,Other,JAdventure,JAdventure,2008,2008,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,0.01,NA,0.01
Kanon,NEC Interchannel,NEC Other,JAdventure,JAdventure,2002,2002,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Kanuchi: Kuroki Tsubasa no Shou,Idea Factory,Idea Factory,JAdventure,JAdventure,2009,2009,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Kanuchi: Shiroki Tsubasa no Shou,Idea Factory,Idea Factory,JAdventure,JAdventure,2008,2008,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,0.04,NA,0.04
Kao the Kangaroo Round 2,JoWood Productions,Other,Platformer,Platformer,2005,2005,E,E,1,1,NA,NA,58,No,0.01,0.01,NA,NA,0.02
Karaoke Party,Datel,Other,Music,Music,2003,2003,E,E,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Karaoke Revolution,Konami Digital Entertainment,Konami Digital Entertainment,Music,Music,2003,2003,E,E,4,4,NA,NA,83,No,0.17,0.13,NA,0.04,0.35
Karaoke Revolution Anime Song Selection,Konami Digital Entertainment,Konami Digital Entertainment,Music,Music,2003,2003,E,E,4,4,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Karaoke Revolution Dreams & Memories,Konami Digital Entertainment,Konami Digital Entertainment,Music,Music,2004,2004,E,E,4,4,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Karaoke Revolution Family Pack,Konami Digital Entertainment,Konami Digital Entertainment,Music,Music,2004,2004,E,E,4,4,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Karaoke Revolution J-Pop Best Vol 1,Konami Digital Entertainment,Konami Digital Entertainment,Music,Music,2003,2003,E,E,4,4,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Karaoke Revolution J-Pop Best Vol 2,Konami Digital Entertainment,Konami Digital Entertainment,Music,Music,2003,2003,E,E,4,4,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Karaoke Revolution J-Pop Best Vol 3,Konami Digital Entertainment,Konami Digital Entertainment,Music,Music,2003,2003,E,E,4,4,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Karaoke Revolution J-Pop Best Vol 4,Konami Digital Entertainment,Konami Digital Entertainment,Music,Music,2003,2003,E,E,4,4,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Karaoke Revolution J-Pop Best Vol 5,Konami Digital Entertainment,Konami Digital Entertainment,Music,Music,2003,2003,E,E,4,4,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Karaoke Revolution J-Pop Best Vol 6,Konami Digital Entertainment,Konami Digital Entertainment,Music,Music,2003,2003,E,E,4,4,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Karaoke Revolution J-Pop Best Vol 7,Konami Digital Entertainment,Konami Digital Entertainment,Music,Music,2003,2003,E,E,4,4,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Karaoke Revolution J-Pop Best Vol 8,Konami Digital Entertainment,Konami Digital Entertainment,Music,Music,2003,2003,E,E,4,4,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Karaoke Revolution J-Pop Best Vol 9,Konami Digital Entertainment,Konami Digital Entertainment,Music,Music,2004,2004,E,E,4,4,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Karaoke Revolution Kazoku Idol Sengen,Konami Digital Entertainment,Konami Digital Entertainment,Music,Music,2004,2004,E,E,4,4,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Karaoke Revolution Love & Ballad,Konami Digital Entertainment,Konami Digital Entertainment,Music,Music,2003,2003,E,E,4,4,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Karaoke Revolution Night Selection 2003,Konami Digital Entertainment,Konami Digital Entertainment,Music,Music,2003,2003,E,E,4,4,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Karaoke Revolution Party,Konami Digital Entertainment,Konami Digital Entertainment,Music,Music,2005,2005,E,E,4,4,NA,NA,78,No,0.15,0.12,NA,0.04,0.3
Karaoke Revolution Presents American Idol,Konami Digital Entertainment,Konami Digital Entertainment,Music,Music,2007,2007,E,E,4,4,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Karaoke Revolution Presents American Idol Encore,Konami Digital Entertainment,Konami Digital Entertainment,Music,Music,2008,2008,E10,E,4,4,NA,NA,78,Yes,0.19,0.15,NA,0.05,0.39
Karaoke Revolution Snow & Party,Konami Digital Entertainment,Konami Digital Entertainment,Music,Music,2003,2003,E,E,4,4,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Karaoke Revolution Volume 2,Konami Digital Entertainment,Konami Digital Entertainment,Music,Music,2004,2004,E,E,4,4,NA,NA,76,Yes,0.11,0.09,NA,0.03,0.23
Karaoke Revolution Volume 3,Konami Digital Entertainment,Konami Digital Entertainment,Music,Music,2004,2004,E,E,4,4,NA,NA,89,Yes,0.16,0.12,NA,0.04,0.32
Karaoke Revolution: Kissing Selection,Konami Digital Entertainment,Konami Digital Entertainment,Music,Music,2004,2004,E,E,4,4,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Kart Racer,Nordic Games,Other,Racing,Racing,2009,2009,E,E,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Katakamuna: Ushinawareta Ingaritsu,Alchemist,Other,JAdventure,JAdventure,2004,2004,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Katamari Damacy,Namco Bandai Games,Namco Bandai Games,Puzzle,Other,2004,2004,E,E,2,2,NA,NA,86,Yes,0.47,0.02,0.17,0.08,0.73
Katana Action,505 Games,505 Games,ActionAdventure,ActionAdventure,2003,2003,E,E,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Katekyoo Hitman Reborn Nerae!? Ring x Bongole Returns,Marvelous Interactive,Marvelous Interactive,JAdventure,JAdventure,2008,2008,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,0.01,NA,0.01
Katekyoo Hitman Reborn! Dream Hyper Battle!,Marvelous Interactive,Marvelous Interactive,Fighting,Fighting,2007,2007,NA,NA,2,2,NA,NA,NA,Yes,NA,NA,0.02,NA,0.02
Katekyoo Hitman Reborn! Kindan no Yami no Delta,Marvelous Interactive,Marvelous Interactive,ActionAdventure,ActionAdventure,2008,2008,NA,NA,2,2,NA,NA,NA,Yes,NA,NA,0.02,NA,0.02
Katekyoo Hitman Reborn!! Let's Ansatsu!? Nerawareta 10 Daime!,Marvelous Interactive,Marvelous Interactive,ActionAdventure,ActionAdventure,2007,2007,NA,NA,2,2,NA,NA,NA,Yes,NA,NA,0.02,NA,0.02
Kazeiro Surf,Russel,Other,JAdventure,JAdventure,2009,2009,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Kelly Slater's Pro Surfer,Activision,Activision,Sports,Sports,2002,2002,E,E,2,2,NA,NA,77,No,0.16,0.13,NA,0.04,0.33
Kengo 3,Genki,Other,Fighting,Fighting,2004,2004,NA,NA,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Kengo: Master of Bushido,Ubisoft,Ubisoft,Fighting,Fighting,2000,2001,M,M,2,2,NA,NA,62,Yes,0.16,0.13,0.06,0.04,0.39
Kenka Banchou,Spike,Other,ActionAdventure,ActionAdventure,2005,2005,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Kenka Banchou 2: Full Throttle,Spike,Other,ActionAdventure,ActionAdventure,2007,2007,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,0.09,NA,0.09
Keroro Gunsou: MeroMero Battle Royale,Namco Bandai Games,Namco Bandai Games,ActionAdventure,ActionAdventure,2004,2004,NA,NA,4,4,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Keroro Gunsou: MeroMero Battle Royale Z,Namco Bandai Games,Namco Bandai Games,ActionAdventure,ActionAdventure,2005,2005,NA,NA,4,4,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Kessen,Electronic Arts,Electronic Arts,Strategy,Strategy,2000,2001,T,T,1,1,NA,NA,75,Yes,0.27,0.21,0.41,0.07,0.95
