game,publisher,publisher2,genre,genre2,year,year2,esrb,esrb2,local_player,local_player2,online_player,online_player2,metacritic,exclusive,sales_na,sales_eu,sales_jp,sales_o,sales_total
Super PickUps,XS Games,Other,Racing,Racing,2007,2007,E,E,2,2,NA,NA,NA,Yes,0.01,0.01,NA,NA,0.02
Super Robot Taisen Impact,Banpresto,Banpresto,Strategy,Strategy,2002,2002,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,0.65,NA,0.65
Super Robot Taisen MX,Banpresto,Banpresto,Strategy,Strategy,2004,2004,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,0.5,NA,0.5
Super Robot Taisen OG: Original Generations,Banpresto,Banpresto,Strategy,Strategy,2007,2007,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,0.44,NA,0.44
Super Robot Taisen OG: Original Generations Gaiden,Banpresto,Banpresto,Strategy,Strategy,2007,2007,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,0.3,NA,0.3
Super Robot Taisen Z,Namco Bandai Games,Namco Bandai Games,Strategy,Strategy,2008,2008,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,0.5,NA,0.5
Super Robot Taisen Z Special Disc,Namco Bandai Games,Namco Bandai Games,Misc,Misc,2009,2009,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,0.08,NA,0.08
Super Robot Taisen: Scramble Commander,Banpresto,Banpresto,Strategy,Strategy,2003,2003,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,0.19,NA,0.19
Super Robot Taisen: Scramble Commander the 2nd,Banpresto,Banpresto,Strategy,Strategy,2007,2007,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,0.04,NA,0.04
Super Trucks Racing,Jester Interactive,Other,Racing,Racing,2002,2002,E,E,2,2,NA,NA,66,Yes,0.35,0.27,NA,0.09,0.71
